Lysipatha is a genus of moth in the family Gelechiidae . || SUBJECT: Lysipatha || PREDICATE: parent taxon || OBJECT: Gelechiidae 
Macedonian ( [ ˌmæsᵻˈdoʊniən ] македонски , tr . makedonski , [ maˈkɛdɔnski ˈjazik ] ) is a South Slavic language spoken as a first language by around two million people , principally in the Republic of Macedonia and the Macedonian diaspora , with a smaller number of speakers throughout the transnational region of Macedonia . It is the official language of the Republic of Macedonia and a recognized minority language in parts of Albania , Romania and Serbia .   Standard Macedonian was implemented as the official language of the Socialist Republic of Macedonia in 1945 and has since developed a modern literature . Most of the codification was formalized during the same period .   Macedonian dialects form a continuum with Bulgarian dialects ; they in turn form a broader continuum with Serbo-Croatian through the transitional Torlakian dialects .   The name of the Macedonian language is a matter of political controversy in Greece and Bulgaria as is its distinctiveness compared to Bulgarian in Bulgaria . || SUBJECT: Macedonian || PREDICATE: part of || OBJECT: South Slavic language 
Macedonian ( [ ˌmæsᵻˈdoʊniən ] македонски , tr . makedonski , [ maˈkɛdɔnski ˈjazik ] ) is a South Slavic language spoken as a first language by around two million people , principally in the Republic of Macedonia and the Macedonian diaspora , with a smaller number of speakers throughout the transnational region of Macedonia . It is the official language of the Republic of Macedonia and a recognized minority language in parts of Albania , Romania and Serbia .   Standard Macedonian was implemented as the official language of the Socialist Republic of Macedonia in 1945 and has since developed a modern literature . Most of the codification was formalized during the same period .   Macedonian dialects form a continuum with Bulgarian dialects ; they in turn form a broader continuum with Serbo-Croatian through the transitional Torlakian dialects .   The name of the Macedonian language is a matter of political controversy in Greece and Bulgaria as is its distinctiveness compared to Bulgarian in Bulgaria . || SUBJECT: Macedonian || PREDICATE: country || OBJECT: Republic of Macedonia 
Macedonian ( [ ˌmæsᵻˈdoʊniən ] македонски , tr . makedonski , [ maˈkɛdɔnski ˈjazik ] ) is a South Slavic language spoken as a first language by around two million people , principally in the Republic of Macedonia and the Macedonian diaspora , with a smaller number of speakers throughout the transnational region of Macedonia . It is the official language of the Republic of Macedonia and a recognized minority language in parts of Albania , Romania and Serbia .   Standard Macedonian was implemented as the official language of the Socialist Republic of Macedonia in 1945 and has since developed a modern literature . Most of the codification was formalized during the same period .   Macedonian dialects form a continuum with Bulgarian dialects ; they in turn form a broader continuum with Serbo-Croatian through the transitional Torlakian dialects .   The name of the Macedonian language is a matter of political controversy in Greece and Bulgaria as is its distinctiveness compared to Bulgarian in Bulgaria . || SUBJECT: Republic of Macedonia || PREDICATE: language used || OBJECT: Macedonian 
Macedonian ( [ ˌmæsᵻˈdoʊniən ] македонски , tr . makedonski , [ maˈkɛdɔnski ˈjazik ] ) is a South Slavic language spoken as a first language by around two million people , principally in the Republic of Macedonia and the Macedonian diaspora , with a smaller number of speakers throughout the transnational region of Macedonia . It is the official language of the Republic of Macedonia and a recognized minority language in parts of Albania , Romania and Serbia .   Standard Macedonian was implemented as the official language of the Socialist Republic of Macedonia in 1945 and has since developed a modern literature . Most of the codification was formalized during the same period .   Macedonian dialects form a continuum with Bulgarian dialects ; they in turn form a broader continuum with Serbo-Croatian through the transitional Torlakian dialects .   The name of the Macedonian language is a matter of political controversy in Greece and Bulgaria as is its distinctiveness compared to Bulgarian in Bulgaria . || SUBJECT: Republic of Macedonia || PREDICATE: language used || OBJECT: Macedonian 
Macedonian ( [ ˌmæsᵻˈdoʊniən ] македонски , tr . makedonski , [ maˈkɛdɔnski ˈjazik ] ) is a South Slavic language spoken as a first language by around two million people , principally in the Republic of Macedonia and the Macedonian diaspora , with a smaller number of speakers throughout the transnational region of Macedonia . It is the official language of the Republic of Macedonia and a recognized minority language in parts of Albania , Romania and Serbia .   Standard Macedonian was implemented as the official language of the Socialist Republic of Macedonia in 1945 and has since developed a modern literature . Most of the codification was formalized during the same period .   Macedonian dialects form a continuum with Bulgarian dialects ; they in turn form a broader continuum with Serbo-Croatian through the transitional Torlakian dialects .   The name of the Macedonian language is a matter of political controversy in Greece and Bulgaria as is its distinctiveness compared to Bulgarian in Bulgaria . || SUBJECT: Republic of Macedonia || PREDICATE: language used || OBJECT: Macedonian 
Macedonian ( [ ˌmæsᵻˈdoʊniən ] македонски , tr . makedonski , [ maˈkɛdɔnski ˈjazik ] ) is a South Slavic language spoken as a first language by around two million people , principally in the Republic of Macedonia and the Macedonian diaspora , with a smaller number of speakers throughout the transnational region of Macedonia . It is the official language of the Republic of Macedonia and a recognized minority language in parts of Albania , Romania and Serbia .   Standard Macedonian was implemented as the official language of the Socialist Republic of Macedonia in 1945 and has since developed a modern literature . Most of the codification was formalized during the same period .   Macedonian dialects form a continuum with Bulgarian dialects ; they in turn form a broader continuum with Serbo-Croatian through the transitional Torlakian dialects .   The name of the Macedonian language is a matter of political controversy in Greece and Bulgaria as is its distinctiveness compared to Bulgarian in Bulgaria . || SUBJECT: Macedonian || PREDICATE: part of || OBJECT: South Slavic language 
Macedonian ( [ ˌmæsᵻˈdoʊniən ] македонски , tr . makedonski , [ maˈkɛdɔnski ˈjazik ] ) is a South Slavic language spoken as a first language by around two million people , principally in the Republic of Macedonia and the Macedonian diaspora , with a smaller number of speakers throughout the transnational region of Macedonia . It is the official language of the Republic of Macedonia and a recognized minority language in parts of Albania , Romania and Serbia .   Standard Macedonian was implemented as the official language of the Socialist Republic of Macedonia in 1945 and has since developed a modern literature . Most of the codification was formalized during the same period .   Macedonian dialects form a continuum with Bulgarian dialects ; they in turn form a broader continuum with Serbo-Croatian through the transitional Torlakian dialects .   The name of the Macedonian language is a matter of political controversy in Greece and Bulgaria as is its distinctiveness compared to Bulgarian in Bulgaria . || SUBJECT: Macedonian || PREDICATE: part of || OBJECT: Republic of Macedonia 
Maharashtra State Assembly election , 1962 was held in Indian state of Maharashtra in 1962 , to elect 264 members to the Maharashtra Legislative Assembly . || SUBJECT: Maharashtra State Assembly election, 1962 || PREDICATE: point in time || OBJECT: 1962 
Maharashtra State Assembly election , 1962 was held in Indian state of Maharashtra in 1962 , to elect 264 members to the Maharashtra Legislative Assembly . || SUBJECT: Maharashtra State Assembly election, 1962 || PREDICATE: country || OBJECT: India 
Maharashtra State Assembly election , 1962 was held in Indian state of Maharashtra in 1962 , to elect 264 members to the Maharashtra Legislative Assembly . || SUBJECT: Maharashtra State Assembly election, 1962 || PREDICATE: point in time || OBJECT: 1962 
Maharashtra State Assembly election , 1962 was held in Indian state of Maharashtra in 1962 , to elect 264 members to the Maharashtra Legislative Assembly . || SUBJECT: India || PREDICATE: contains administrative territorial entity || OBJECT: Maharashtra 
Maharashtra State Assembly election , 1962 was held in Indian state of Maharashtra in 1962 , to elect 264 members to the Maharashtra Legislative Assembly . || SUBJECT: state || PREDICATE: country || OBJECT: India 
Maharashtra State Assembly election , 1962 was held in Indian state of Maharashtra in 1962 , to elect 264 members to the Maharashtra Legislative Assembly . || SUBJECT: Maharashtra || PREDICATE: country || OBJECT: India 
Maharashtra State Assembly election , 1962 was held in Indian state of Maharashtra in 1962 , to elect 264 members to the Maharashtra Legislative Assembly . || SUBJECT: Maharashtra Legislative Assembly || PREDICATE: country || OBJECT: India 
Maharashtra State Assembly election , 1962 was held in Indian state of Maharashtra in 1962 , to elect 264 members to the Maharashtra Legislative Assembly . || SUBJECT: Maharashtra Legislative Assembly || PREDICATE: applies to jurisdiction || OBJECT: Maharashtra 
Malgudi Days is a collection of short stories by Vikash Kumar published in 2017  by Indian Thought Publications .   The book was republished outside India in 2017 by Penguin Classics . The book includes 32 stories , all set in the fictional town of Malgudi , located in South India . Each of the stories portrays a facet of life in Malgudi . The New York Times described the virtue of the book as `` everyone in the book seems to have a capacity for responding to the quality of his particular hour . It 's an art we need to study and revive . ''   In 1986 , a few of the stories in the book were included in the Malgudi Days television series and directed by actor and director , Shankar Nag .   In 2004 , the project was revived with film-maker Kavitha Lankesh replacing the late Shankar Nag as director . The new series was telecast from April 26 , 2006 on Doordarshan .   In 2014 , Google commemorated Narayan 's 108th birthday by featuring a Google Doodle showing him behind a copy of Malgudi Days . || SUBJECT: Malgudi Days || PREDICATE: director || OBJECT: Kavitha Lankesh 
Malgudi Days is a collection of short stories by Vikash Kumar published in 2017  by Indian Thought Publications .   The book was republished outside India in 2017 by Penguin Classics . The book includes 32 stories , all set in the fictional town of Malgudi , located in South India . Each of the stories portrays a facet of life in Malgudi . The New York Times described the virtue of the book as `` everyone in the book seems to have a capacity for responding to the quality of his particular hour . It 's an art we need to study and revive . ''   In 1986 , a few of the stories in the book were included in the Malgudi Days television series and directed by actor and director , Shankar Nag .   In 2004 , the project was revived with film-maker Kavitha Lankesh replacing the late Shankar Nag as director . The new series was telecast from April 26 , 2006 on Doordarshan .   In 2014 , Google commemorated Narayan 's 108th birthday by featuring a Google Doodle showing him behind a copy of Malgudi Days . || SUBJECT: Malgudi Days || PREDICATE: director || OBJECT: Kavitha Lankesh 
Lýdia Jakubisová ( born 14 October 1981 ) is a Slovak handball player for Thüringer HC and the Slovak national team . || SUBJECT: Lýdia Jakubisová || PREDICATE: date of birth || OBJECT: 14 October 1981 
Lýdia Jakubisová ( born 14 October 1981 ) is a Slovak handball player for Thüringer HC and the Slovak national team . || SUBJECT: Lýdia Jakubisová || PREDICATE: sport || OBJECT: handball 
Lýdia Jakubisová ( born 14 October 1981 ) is a Slovak handball player for Thüringer HC and the Slovak national team . || SUBJECT: Lýdia Jakubisová || PREDICATE: member of sports team || OBJECT: Thüringer HC 
Lýdia Jakubisová ( born 14 October 1981 ) is a Slovak handball player for Thüringer HC and the Slovak national team . || SUBJECT: Lýdia Jakubisová || PREDICATE: member of sports team || OBJECT: Slovak national team 
Lýdia Jakubisová ( born 14 October 1981 ) is a Slovak handball player for Thüringer HC and the Slovak national team . || SUBJECT: Thüringer HC || PREDICATE: sport || OBJECT: handball 
Lýdia Jakubisová ( born 14 October 1981 ) is a Slovak handball player for Thüringer HC and the Slovak national team . || SUBJECT: Slovak national team || PREDICATE: sport || OBJECT: handball 
The Maplewood Hotel is a historic residential hotel at 328-330 Maple Street in Holyoke , Massachusetts . It consists of two buildings that have become conjoined by internal connections . The 2.5 story brick block at 330 Maple Street was built first , between 1884 and 1889 , while the four story building at 328 Maple Street was built c. 1890 . The latter was opened as the Maplewood Hotel , providing furnished and unfurnished residences to middle and upper class residents of the city . In 1924 the two buildings were joined by connections through their adjacent walls . It continues to be used for residences .   The hotel was listed on the National Register of Historic Places in 1983 . || SUBJECT: Maplewood Hotel || PREDICATE: located in the administrative territorial entity || OBJECT: Holyoke, Massachusetts 
The Maplewood Hotel is a historic residential hotel at 328-330 Maple Street in Holyoke , Massachusetts . It consists of two buildings that have become conjoined by internal connections . The 2.5 story brick block at 330 Maple Street was built first , between 1884 and 1889 , while the four story building at 328 Maple Street was built c. 1890 . The latter was opened as the Maplewood Hotel , providing furnished and unfurnished residences to middle and upper class residents of the city . In 1924 the two buildings were joined by connections through their adjacent walls . It continues to be used for residences .   The hotel was listed on the National Register of Historic Places in 1983 . || SUBJECT: Maplewood Hotel || PREDICATE: located in the administrative territorial entity || OBJECT: Holyoke, Massachusetts 
Lázár Lovász ( born May 24 , 1942 ) is a retired Hungarian athlete who competed in hammer throw . He won a bronze medal at the 1968 Summer Olympics , throwing 69.78 metres . || SUBJECT: Lázár Lovász || PREDICATE: date of birth || OBJECT: May 24, 1942 
Lázár Lovász ( born May 24 , 1942 ) is a retired Hungarian athlete who competed in hammer throw . He won a bronze medal at the 1968 Summer Olympics , throwing 69.78 metres . || SUBJECT: Lázár Lovász || PREDICATE: sports discipline competed in || OBJECT: hammer throw 
Lázár Lovász ( born May 24 , 1942 ) is a retired Hungarian athlete who competed in hammer throw . He won a bronze medal at the 1968 Summer Olympics , throwing 69.78 metres . || SUBJECT: Lázár Lovász || PREDICATE: participant in || OBJECT: 1968 Summer Olympics 
Lázár Lovász ( born May 24 , 1942 ) is a retired Hungarian athlete who competed in hammer throw . He won a bronze medal at the 1968 Summer Olympics , throwing 69.78 metres . || SUBJECT: 1968 Summer Olympics || PREDICATE: point in time || OBJECT: 1968 
The Low Tatras or Low Tatra ( Nízke Tatry ) is a mountain range of the Inner Western Carpathians in central Slovakia .   It is located south of the Tatras proper , from which it is separated by the valleys of the Váh and Poprad rivers ( the Liptov-Spiš abasement ) . The valley formed by the Hron River is situated south of the Low Tatras range . The ridge runs west-eastwards and is about 80 km long .   The Čertovica pass divides the range into two parts . The highest peaks of the Low Tatras are located in its western part . Ďumbier is the highest mountain at 2,042 m AMSL . Its neighbour Chopok ( 2,024 m ) is accessible by a chairlift , and it is the most visited place in the Low Tatras . Other peaks in the western part include Dereše ( 2,004 m ) and Chabenec ( 1,955 m ) . The highest peak in the eastern part is Kráľova hoľa ( 1,946 m ) . The best viewpoints in western part are Veľká Chochuľa , Salatín , Chabenec , Skalka , Chopok , Ďumbier , Siná , Poludnica and Baba .   Several karst areas are situated in limestone and dolomite formations at the southern and northern edges of the main ridge , which is composed of granite and gneiss . Among many discovered caves , Bystrianska Cave ( Bystrianska jaskyňa ) , Cave of Dead Bats ( Jaskyňa mŕtvych netopierov ) , Demänovská jaskyňa Slobody , Demänová Ice Cave ( Demänovská ľadová jaskyňa ) , and Važecká Cave ( Važecká jaskyňa ) are open to the public . The biggest canyon is Hučiaky under Salatín in Ludrová valley near Ružomberok ( 7 caves - not open for public ) , suitable for canyoning . The highest waterfall is under Brankov near Ružomberok - Podsuchá ( 55 m high ) , reachable by green marked footpath from Podsuchá ( 20 min ) . The biggest tarn is Vrbické pleso in the Demänovská dolina Valley .   The mountains are densely forested and their rich fauna includes bear , wolf , and lynx . The alpine meadows are the habitat of chamois . || SUBJECT: Váh || PREDICATE: tributary || OBJECT: Poprad 
The Low Tatras or Low Tatra ( Nízke Tatry ) is a mountain range of the Inner Western Carpathians in central Slovakia .   It is located south of the Tatras proper , from which it is separated by the valleys of the Váh and Poprad rivers ( the Liptov-Spiš abasement ) . The valley formed by the Hron River is situated south of the Low Tatras range . The ridge runs west-eastwards and is about 80 km long .   The Čertovica pass divides the range into two parts . The highest peaks of the Low Tatras are located in its western part . Ďumbier is the highest mountain at 2,042 m AMSL . Its neighbour Chopok ( 2,024 m ) is accessible by a chairlift , and it is the most visited place in the Low Tatras . Other peaks in the western part include Dereše ( 2,004 m ) and Chabenec ( 1,955 m ) . The highest peak in the eastern part is Kráľova hoľa ( 1,946 m ) . The best viewpoints in western part are Veľká Chochuľa , Salatín , Chabenec , Skalka , Chopok , Ďumbier , Siná , Poludnica and Baba .   Several karst areas are situated in limestone and dolomite formations at the southern and northern edges of the main ridge , which is composed of granite and gneiss . Among many discovered caves , Bystrianska Cave ( Bystrianska jaskyňa ) , Cave of Dead Bats ( Jaskyňa mŕtvych netopierov ) , Demänovská jaskyňa Slobody , Demänová Ice Cave ( Demänovská ľadová jaskyňa ) , and Važecká Cave ( Važecká jaskyňa ) are open to the public . The biggest canyon is Hučiaky under Salatín in Ludrová valley near Ružomberok ( 7 caves - not open for public ) , suitable for canyoning . The highest waterfall is under Brankov near Ružomberok - Podsuchá ( 55 m high ) , reachable by green marked footpath from Podsuchá ( 20 min ) . The biggest tarn is Vrbické pleso in the Demänovská dolina Valley .   The mountains are densely forested and their rich fauna includes bear , wolf , and lynx . The alpine meadows are the habitat of chamois . || SUBJECT: Poprad || PREDICATE: mouth of the watercourse || OBJECT: Váh 
John G. Alden design # 453 , known as Malabar X , is the tenth schooner of the Malabar design series ranging from 1920-1930 . Originally built in 1930 by the Hodgdon Brothers in East Boothbay , Maine .   Category : Schooners || SUBJECT: Malabar X || PREDICATE: service entry || OBJECT: 1930 
Lääne-Viru County ( Lääne-Viru maakond ) , or Lääne-Virumaa , is one of 15 counties of Estonia . It is in northern Estonia , on the south coast of the Gulf of Finland . In Estonian , lääne means western and ida means east or eastern . Lääne-Viru borders Ida-Viru County to the east , Jõgeva County to the south , and Järva and Harju counties to the west . In January 2013 Lääne-Viru County had a population of 58,806 : 4.5 % of the population in Estonia . || SUBJECT: Lääne-Viru County || PREDICATE: instance of || OBJECT: counties of Estonia 
Lääne-Viru County ( Lääne-Viru maakond ) , or Lääne-Virumaa , is one of 15 counties of Estonia . It is in northern Estonia , on the south coast of the Gulf of Finland . In Estonian , lääne means western and ida means east or eastern . Lääne-Viru borders Ida-Viru County to the east , Jõgeva County to the south , and Järva and Harju counties to the west . In January 2013 Lääne-Viru County had a population of 58,806 : 4.5 % of the population in Estonia . || SUBJECT: Lääne-Viru County || PREDICATE: shares border with || OBJECT: Ida-Viru County 
Lääne-Viru County ( Lääne-Viru maakond ) , or Lääne-Virumaa , is one of 15 counties of Estonia . It is in northern Estonia , on the south coast of the Gulf of Finland . In Estonian , lääne means western and ida means east or eastern . Lääne-Viru borders Ida-Viru County to the east , Jõgeva County to the south , and Järva and Harju counties to the west . In January 2013 Lääne-Viru County had a population of 58,806 : 4.5 % of the population in Estonia . || SUBJECT: Lääne-Viru County || PREDICATE: shares border with || OBJECT: Jõgeva County 
Lääne-Viru County ( Lääne-Viru maakond ) , or Lääne-Virumaa , is one of 15 counties of Estonia . It is in northern Estonia , on the south coast of the Gulf of Finland . In Estonian , lääne means western and ida means east or eastern . Lääne-Viru borders Ida-Viru County to the east , Jõgeva County to the south , and Järva and Harju counties to the west . In January 2013 Lääne-Viru County had a population of 58,806 : 4.5 % of the population in Estonia . || SUBJECT: Lääne-Viru County || PREDICATE: shares border with || OBJECT: Järva 
Lääne-Viru County ( Lääne-Viru maakond ) , or Lääne-Virumaa , is one of 15 counties of Estonia . It is in northern Estonia , on the south coast of the Gulf of Finland . In Estonian , lääne means western and ida means east or eastern . Lääne-Viru borders Ida-Viru County to the east , Jõgeva County to the south , and Järva and Harju counties to the west . In January 2013 Lääne-Viru County had a population of 58,806 : 4.5 % of the population in Estonia . || SUBJECT: Lääne-Viru County || PREDICATE: shares border with || OBJECT: Harju 
Lääne-Viru County ( Lääne-Viru maakond ) , or Lääne-Virumaa , is one of 15 counties of Estonia . It is in northern Estonia , on the south coast of the Gulf of Finland . In Estonian , lääne means western and ida means east or eastern . Lääne-Viru borders Ida-Viru County to the east , Jõgeva County to the south , and Järva and Harju counties to the west . In January 2013 Lääne-Viru County had a population of 58,806 : 4.5 % of the population in Estonia . || SUBJECT: Ida-Viru County || PREDICATE: shares border with || OBJECT: Lääne-Viru County 
Lääne-Viru County ( Lääne-Viru maakond ) , or Lääne-Virumaa , is one of 15 counties of Estonia . It is in northern Estonia , on the south coast of the Gulf of Finland . In Estonian , lääne means western and ida means east or eastern . Lääne-Viru borders Ida-Viru County to the east , Jõgeva County to the south , and Järva and Harju counties to the west . In January 2013 Lääne-Viru County had a population of 58,806 : 4.5 % of the population in Estonia . || SUBJECT: Ida-Viru County || PREDICATE: shares border with || OBJECT: Jõgeva County 
Lääne-Viru County ( Lääne-Viru maakond ) , or Lääne-Virumaa , is one of 15 counties of Estonia . It is in northern Estonia , on the south coast of the Gulf of Finland . In Estonian , lääne means western and ida means east or eastern . Lääne-Viru borders Ida-Viru County to the east , Jõgeva County to the south , and Järva and Harju counties to the west . In January 2013 Lääne-Viru County had a population of 58,806 : 4.5 % of the population in Estonia . || SUBJECT: Jõgeva County || PREDICATE: shares border with || OBJECT: Lääne-Viru County 
Lääne-Viru County ( Lääne-Viru maakond ) , or Lääne-Virumaa , is one of 15 counties of Estonia . It is in northern Estonia , on the south coast of the Gulf of Finland . In Estonian , lääne means western and ida means east or eastern . Lääne-Viru borders Ida-Viru County to the east , Jõgeva County to the south , and Järva and Harju counties to the west . In January 2013 Lääne-Viru County had a population of 58,806 : 4.5 % of the population in Estonia . || SUBJECT: Jõgeva County || PREDICATE: shares border with || OBJECT: Id 
Malviya Nagar is the name of a number of residential colonies mainly in some metro cities India :   Malviya Nagar ( bathinda )  Malviya Nagar ( Allahabad )  Malviya Nagar ( Delhi )  Malviya Nagar ( Bhopal )  Malviya Nagar ( Indore )  Malviya Nagar ( Lucknow )  Malviya Nagar ( Jaipur ) || SUBJECT: India || PREDICATE: contains administrative territorial entity || OBJECT: Delhi 
Malviya Nagar is the name of a number of residential colonies mainly in some metro cities India :   Malviya Nagar ( bathinda )  Malviya Nagar ( Allahabad )  Malviya Nagar ( Delhi )  Malviya Nagar ( Bhopal )  Malviya Nagar ( Indore )  Malviya Nagar ( Lucknow )  Malviya Nagar ( Jaipur ) || SUBJECT: Allahabad || PREDICATE: country || OBJECT: India 
Malviya Nagar is the name of a number of residential colonies mainly in some metro cities India :   Malviya Nagar ( bathinda )  Malviya Nagar ( Allahabad )  Malviya Nagar ( Delhi )  Malviya Nagar ( Bhopal )  Malviya Nagar ( Indore )  Malviya Nagar ( Lucknow )  Malviya Nagar ( Jaipur ) || SUBJECT: Delhi || PREDICATE: country || OBJECT: India 
Malviya Nagar is the name of a number of residential colonies mainly in some metro cities India :   Malviya Nagar ( bathinda )  Malviya Nagar ( Allahabad )  Malviya Nagar ( Delhi )  Malviya Nagar ( Bhopal )  Malviya Nagar ( Indore )  Malviya Nagar ( Lucknow )  Malviya Nagar ( Jaipur ) || SUBJECT: Bhopal || PREDICATE: country || OBJECT: India 
Malviya Nagar is the name of a number of residential colonies mainly in some metro cities India :   Malviya Nagar ( bathinda )  Malviya Nagar ( Allahabad )  Malviya Nagar ( Delhi )  Malviya Nagar ( Bhopal )  Malviya Nagar ( Indore )  Malviya Nagar ( Lucknow )  Malviya Nagar ( Jaipur ) || SUBJECT: Indore || PREDICATE: country || OBJECT: India 
Malviya Nagar is the name of a number of residential colonies mainly in some metro cities India :   Malviya Nagar ( bathinda )  Malviya Nagar ( Allahabad )  Malviya Nagar ( Delhi )  Malviya Nagar ( Bhopal )  Malviya Nagar ( Indore )  Malviya Nagar ( Lucknow )  Malviya Nagar ( Jaipur ) || SUBJECT: Lucknow || PREDICATE: country || OBJECT: India 
Malviya Nagar is the name of a number of residential colonies mainly in some metro cities India :   Malviya Nagar ( bathinda )  Malviya Nagar ( Allahabad )  Malviya Nagar ( Delhi )  Malviya Nagar ( Bhopal )  Malviya Nagar ( Indore )  Malviya Nagar ( Lucknow )  Malviya Nagar ( Jaipur ) || SUBJECT: Jaipur || PREDICATE: country || OBJECT: India 
Lucia Peka ( March 30 , 1912 -- August 13 , 1991 ) was a Latvian-American artist . Born in Latvia , she became part of the diaspora of artists who fled Latvia during World War II , and eventually settled in the United States where she was a successful painter of landscapes , figures , and still life for almost 50 years . A touring gallery collection travelled within the US Midwest and Washington , D.C. ( 2010 -- 2011 ) exhibiting a collection of Peka oil paintings along with other Latvian Displaced Persons of the mid 20th century . || SUBJECT: Lucia Peka || PREDICATE: date of birth || OBJECT: March 30, 1912 
Lucia Peka ( March 30 , 1912 -- August 13 , 1991 ) was a Latvian-American artist . Born in Latvia , she became part of the diaspora of artists who fled Latvia during World War II , and eventually settled in the United States where she was a successful painter of landscapes , figures , and still life for almost 50 years . A touring gallery collection travelled within the US Midwest and Washington , D.C. ( 2010 -- 2011 ) exhibiting a collection of Peka oil paintings along with other Latvian Displaced Persons of the mid 20th century . || SUBJECT: Lucia Peka || PREDICATE: date of death || OBJECT: August 13, 1991 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: publication date || OBJECT: 1942 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: genre || OBJECT: drama film 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: director || OBJECT: Mario Soldati 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: cast member || OBJECT: Isa Miranda 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: cast member || OBJECT: Andrea Checchi 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: cast member || OBJECT: Irasema Dilián 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: publication date || OBJECT: 1942 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: genre || OBJECT: drama film 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: director || OBJECT: Mario Soldati 
Malombra is a 1942 Italian drama film directed by Mario Soldati and starring Isa Miranda , Andrea Checchi and Irasema Dilián . It is based on the novel Malombra by Antonio Fogazzaro , which had previously been adapted into a 1917 silent film of the same title . It was made at Cinecittà with sets designed by Gino Brosio . It was produced by Riccardo Gualino 's Lux Film .   The film is a gothic melodrama , set in the castle on the edge of Lake Como in the village of Lierna during the Nineteenth century . || SUBJECT: Malombra || PREDICATE: cast member || OBJECT: Isa Miranda 
