who wrote the movie Once Upon a Forest? Mark Young, Kelly Ward, Rae Lambert || SUBJECT: Once Upon a Forest || PREDICATE: screenwriter || OBJECT: Mark Young 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: The Snake Pit || PREDICATE: followed by || OBJECT: The Night of the Generals 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: The Night of the Generals || PREDICATE: follows || OBJECT: The Snake Pit 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: The Night of the Generals || PREDICATE: followed by || OBJECT: All This 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: All This || PREDICATE: follows || OBJECT: The Night of the Generals 
which movies can be described by anatole litvak? Sorry, Wrong Number, Anastasia, The Snake Pit, The Night of the Generals, All This, and Heaven Too, Goodbye Again, Decision Before Dawn, City for Conquest, The Amazing Dr. Clitterhouse, The Sisters, The Journey, Out of the Fog, This Above All, Mayerling || SUBJECT: All This || PREDICATE: followed by || OBJECT: Heaven Too 
what is the genre for the movie The Pleasure Garden? Drama, Comedy, Crime || SUBJECT: Drama || PREDICATE: instance of || OBJECT: genre 
what is the genre for the movie The Pleasure Garden? Drama, Comedy, Crime || SUBJECT: Comedy || PREDICATE: instance of || OBJECT: genre 
what is the genre for the movie The Pleasure Garden? Drama, Comedy, Crime || SUBJECT: Crime || PREDICATE: instance of || OBJECT: genre 
what films did Toh star in? Whores || SUBJECT: Whores || PREDICATE: is a list of || OBJECT: films 
the movie Up the Yangtze starred who? Campbell Ping He, Jerry Bo Yu Chen, Cindy Shui Yu || SUBJECT: Up the Yangtze || PREDICATE: cast member || OBJECT: Campbell Ping He 
the movie Up the Yangtze starred who? Campbell Ping He, Jerry Bo Yu Chen, Cindy Shui Yu || SUBJECT: Up the Yangtze || PREDICATE: cast member || OBJECT: Jerry Bo Yu Chen 
the movie Up the Yangtze starred who? Campbell Ping He, Jerry Bo Yu Chen, Cindy Shui Yu || SUBJECT: Up the Yangtze || PREDICATE: cast member || OBJECT: Cindy Shui Yu 
who stars in Bad Country? Willem Dafoe, Amy Smart, Matt Dillon, Neal McDonough || SUBJECT: Bad Country || PREDICATE: cast member || OBJECT: Willem Dafoe 
who stars in Bad Country? Willem Dafoe, Amy Smart, Matt Dillon, Neal McDonough || SUBJECT: Bad Country || PREDICATE: cast member || OBJECT: Amy Smart 
who stars in Bad Country? Willem Dafoe, Amy Smart, Matt Dillon, Neal McDonough || SUBJECT: Bad Country || PREDICATE: cast member || OBJECT: Matt Dillon 
who stars in Bad Country? Willem Dafoe, Amy Smart, Matt Dillon, Neal McDonough || SUBJECT: Bad Country || PREDICATE: cast member || OBJECT: Neal McDonough 
what films can be described by retro? Pulp Fiction, Looper, Wreck-It Ralph, Moonrise Kingdom, Breakfast at Tiffany || SUBJECT: Looper || PREDICATE: influenced by || OBJECT: Pulp Fiction 
who is the writer of Bob the Butler? Gary Sinyor, Jane Walker Wood, Steven Manners || SUBJECT: Bob the Butler || PREDICATE: creator || OBJECT: Gary Sinyor 
who starred in Departures? Tsutomu Yamazaki, Ryôko Hirosue, Masahiro Motoki, Kazuko Yoshiyuki || SUBJECT: Departures || PREDICATE: cast member || OBJECT: Tsutomu Yamazaki 
who starred in Departures? Tsutomu Yamazaki, Ryôko Hirosue, Masahiro Motoki, Kazuko Yoshiyuki || SUBJECT: Departures || PREDICATE: cast member || OBJECT: Ryôko Hirosue 
who starred in Departures? Tsutomu Yamazaki, Ryôko Hirosue, Masahiro Motoki, Kazuko Yoshiyuki || SUBJECT: Departures || PREDICATE: cast member || OBJECT: Masahiro Motoki 
who starred in Departures? Tsutomu Yamazaki, Ryôko Hirosue, Masahiro Motoki, Kazuko Yoshiyuki || SUBJECT: Departures || PREDICATE: cast member || OBJECT: Kazuko Yoshiyuki 
which person wrote the movie Once Upon a Time in the West? Sergio Leone, Mickey Knox, Dario Argento, Bernardo Bertolucci, Sergio Donati || SUBJECT: Once Upon a Time in the West || PREDICATE: director || OBJECT: Sergio Leone 
James Young directed which films? The Bells || SUBJECT: The Bells || PREDICATE: director || OBJECT: James Young 
who is the creator of the film script for Viy? Nikolai Gogol, Aleksandr Karpov, Oleg Stepchenko || SUBJECT: Viy || PREDICATE: screenwriter || OBJECT: Nikolai Gogol 
who is the creator of the film script for Viy? Nikolai Gogol, Aleksandr Karpov, Oleg Stepchenko || SUBJECT: Viy || PREDICATE: screenwriter || OBJECT: Aleksandr Karpov 
who is the creator of the film script for Viy? Nikolai Gogol, Aleksandr Karpov, Oleg Stepchenko || SUBJECT: Viy || PREDICATE: screenwriter || OBJECT: Oleg Stepchenko 
Lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a Baltic ethnic group , native to Lithuania , where they number around 2,561,300 people || SUBJECT: Lithuanians || PREDICATE: part of || OBJECT: Baltic ethnic group 
Lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a Baltic ethnic group , native to Lithuania , where they number around 2,561,300 people || SUBJECT: Lithuanians || PREDICATE: country || OBJECT: Lithuania 
Lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a Baltic ethnic group , native to Lithuania , where they number around 2,561,300 people || SUBJECT: Baltic ethnic group || PREDICATE: has part || OBJECT: Lithuanians 
Lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a Baltic ethnic group , native to Lithuania , where they number around 2,561,300 people || SUBJECT: Lithuania || PREDICATE: ethnic group || OBJECT: Lithuanians 
Another million or more make up the Lithuanian diaspora , largely found in countries such as the United States , Argentina , Brazil , Canada , Colombia , Russia , United Kingdom and Ireland || SUBJECT: Lithuanian diaspora || PREDICATE: has part || OBJECT: United States 
Another million or more make up the Lithuanian diaspora , largely found in countries such as the United States , Argentina , Brazil , Canada , Colombia , Russia , United Kingdom and Ireland || SUBJECT: Lithuanian diaspora || PREDICATE: has part || OBJECT: Argentina 
Another million or more make up the Lithuanian diaspora , largely found in countries such as the United States , Argentina , Brazil , Canada , Colombia , Russia , United Kingdom and Ireland || SUBJECT: Lithuanian diaspora || PREDICATE: has part || OBJECT: Brazil 
Another million or more make up the Lithuanian diaspora , largely found in countries such as the United States , Argentina , Brazil , Canada , Colombia , Russia , United Kingdom and Ireland || SUBJECT: Lithuanian diaspora || PREDICATE: has part || OBJECT: Canada 
Another million or more make up the Lithuanian diaspora , largely found in countries such as the United States , Argentina , Brazil , Canada , Colombia , Russia , United Kingdom and Ireland || SUBJECT: Lithuanian diaspora || PREDICATE: has part || OBJECT: Colombia 
Another million or more make up the Lithuanian diaspora , largely found in countries such as the United States , Argentina , Brazil , Canada , Colombia , Russia , United Kingdom and Ireland || SUBJECT: Lithuanian diaspora || PREDICATE: has part || OBJECT: Russia 
Another million or more make up the Lithuanian diaspora , largely found in countries such as the United States , Argentina , Brazil , Canada , Colombia , Russia , United Kingdom and Ireland || SUBJECT: Lithuanian diaspora || PREDICATE: has part || OBJECT: United Kingdom 
Another million or more make up the Lithuanian diaspora , largely found in countries such as the United States , Argentina , Brazil , Canada , Colombia , Russia , United Kingdom and Ireland || SUBJECT: Lithuanian diaspora || PREDICATE: has part || OBJECT: Ireland 
Their native language is Lithuanian , one of only two surviving members of the Baltic language family || SUBJECT: Lithuanian || PREDICATE: part of || OBJECT: Baltic language family 
Their native language is Lithuanian , one of only two surviving members of the Baltic language family || SUBJECT: Baltic language family || PREDICATE: has part || OBJECT: Lithuanian 
According to the census conducted in 2001 , 83.45 % of the population of Lithuania identified themselves as Lithuanians , 6.74 % as Poles , 6.31 % as Russians , 1.23 % as Belarusians , and 2.27 % as members of other ethnic groups || SUBJECT: census conducted in 2001 || PREDICATE: country || OBJECT: Lithuania 
According to the census conducted in 2001 , 83.45 % of the population of Lithuania identified themselves as Lithuanians , 6.74 % as Poles , 6.31 % as Russians , 1.23 % as Belarusians , and 2.27 % as members of other ethnic groups || SUBJECT: Lithuanians || PREDICATE: instance of || OBJECT: ethnic group 
According to the census conducted in 2001 , 83.45 % of the population of Lithuania identified themselves as Lithuanians , 6.74 % as Poles , 6.31 % as Russians , 1.23 % as Belarusians , and 2.27 % as members of other ethnic groups || SUBJECT: Poles || PREDICATE: instance of || OBJECT: ethnic group 
According to the census conducted in 2001 , 83.45 % of the population of Lithuania identified themselves as Lithuanians , 6.74 % as Poles , 6.31 % as Russians , 1.23 % as Belarusians , and 2.27 % as members of other ethnic groups || SUBJECT: Russians || PREDICATE: instance of || OBJECT: ethnic group 
According to the census conducted in 2001 , 83.45 % of the population of Lithuania identified themselves as Lithuanians , 6.74 % as Poles , 6.31 % as Russians , 1.23 % as Belarusians , and 2.27 % as members of other ethnic groups || SUBJECT: Belarusians || PREDICATE: instance of || OBJECT: ethnic group 
Most Lithuanians belong to the Roman Catholic Church , while the Lietuvininkai who lived in the northern part of East Prussia prior to World War II , were mostly Evangelical Lutherans . || SUBJECT: Lietuvininkai || PREDICATE: religion || OBJECT: Evangelical Lutherans 
Liverpool ( [ ˈlɪvərpuːl ] ) is a city in North West England , with an estimated population of 478,580 in 2015 || SUBJECT: North West England || PREDICATE: capital || OBJECT: Liverpool 
With its surrounding areas it is the fifth largest metropolitan area in the UK , with over 2.24 million people in 2011 || SUBJECT: fifth largest metropolitan area || PREDICATE: country || OBJECT: UK 
The local authority is Liverpool City Council , the most populous local government district within the metropolitan county of Merseyside and the largest within the Liverpool City Region || SUBJECT: Liverpool City Council || PREDICATE: located in the administrative territorial entity || OBJECT: Merseyside 
The local authority is Liverpool City Council , the most populous local government district within the metropolitan county of Merseyside and the largest within the Liverpool City Region || SUBJECT: Merseyside || PREDICATE: authority || OBJECT: Liverpool City Council 
The local authority is Liverpool City Council , the most populous local government district within the metropolitan county of Merseyside and the largest within the Liverpool City Region || SUBJECT: Merseyside || PREDICATE: instance of || OBJECT: metropolitan county 
The local authority is Liverpool City Council , the most populous local government district within the metropolitan county of Merseyside and the largest within the Liverpool City Region || SUBJECT: Merseyside || PREDICATE: located in the administrative territorial entity || OBJECT: Liverpool City Region 
The local authority is Liverpool City Council , the most populous local government district within the metropolitan county of Merseyside and the largest within the Liverpool City Region || SUBJECT: Liverpool City Region || PREDICATE: contains administrative territorial entity || OBJECT: Merseyside 
  Liverpool sits on the eastern side of the Mersey Estuary , and historically lay within the ancient hundred of West Derby in the south west of the county of Lancashire || SUBJECT: Mersey Estuary || PREDICATE: located in the administrative territorial entity || OBJECT: Lancashire 
It became a borough in 1207 and a city in 1880 || SUBJECT: borough || PREDICATE: followed by || OBJECT: city 
It became a borough in 1207 and a city in 1880 || SUBJECT: city || PREDICATE: follows || OBJECT: borough 
In 1889 , it became a county borough independent of Lancashire || SUBJECT: county borough independent of Lancashire || PREDICATE: inception || OBJECT: 1889 
Its growth as a major port was paralleled by the expansion of the city throughout the Industrial Revolution || SUBJECT: expansion of the city || PREDICATE: part of || OBJECT: Industrial Revolution 
Along with general cargo , freight , raw materials such as coal and cotton , the city was also involved in the Atlantic slave trade || SUBJECT: slave trade || PREDICATE: location || OBJECT: Atlantic 
Liverpool was home to both the Cunard and White Star Line , and was the port of registry of the ocean liner RMS Titanic , the RMS Lusitania , Queen Mary and Olympic || SUBJECT: Cunard || PREDICATE: headquarters location || OBJECT: Liverpool 
Liverpool was home to both the Cunard and White Star Line , and was the port of registry of the ocean liner RMS Titanic , the RMS Lusitania , Queen Mary and Olympic || SUBJECT: White Star Line || PREDICATE: headquarters location || OBJECT: Liverpool 
Liverpool was home to both the Cunard and White Star Line , and was the port of registry of the ocean liner RMS Titanic , the RMS Lusitania , Queen Mary and Olympic || SUBJECT: RMS Titanic || PREDICATE: instance of || OBJECT: ocean liner 
Liverpool was home to both the Cunard and White Star Line , and was the port of registry of the ocean liner RMS Titanic , the RMS Lusitania , Queen Mary and Olympic || SUBJECT: RMS Lusitania || PREDICATE: instance of || OBJECT: ocean liner 
Liverpool was home to both the Cunard and White Star Line , and was the port of registry of the ocean liner RMS Titanic , the RMS Lusitania , Queen Mary and Olympic || SUBJECT: Queen Mary || PREDICATE: instance of || OBJECT: ocean liner 
Liverpool was home to both the Cunard and White Star Line , and was the port of registry of the ocean liner RMS Titanic , the RMS Lusitania , Queen Mary and Olympic || SUBJECT: Olympic || PREDICATE: instance of || OBJECT: ocean liner 
  The popularity of The Beatles and other groups from the Merseybeat era contributes to Liverpool 's status as a tourist destination || SUBJECT: The Beatles || PREDICATE: genre || OBJECT: Merseybeat 
Liverpool is also the home of two Premier League football clubs , Liverpool and Everton , matches between the two being known as the Merseyside derby || SUBJECT: Liverpool || PREDICATE: league || OBJECT: Premier League 
Liverpool is also the home of two Premier League football clubs , Liverpool and Everton , matches between the two being known as the Merseyside derby || SUBJECT: Everton || PREDICATE: league || OBJECT: Premier League 
Liverpool is also the home of two Premier League football clubs , Liverpool and Everton , matches between the two being known as the Merseyside derby || SUBJECT: Merseyside derby || PREDICATE: participating team || OBJECT: Liverpool 
Liverpool is also the home of two Premier League football clubs , Liverpool and Everton , matches between the two being known as the Merseyside derby || SUBJECT: Merseyside derby || PREDICATE: participating team || OBJECT: Everton 
The city 's namesake club is the sole British club to win five European Cups || SUBJECT: namesake club || PREDICATE: headquarters location || OBJECT: city 
The world-famous Grand National horse race takes place annually at Aintree Racecourse on the outskirts of the city || SUBJECT: Grand National || PREDICATE: location || OBJECT: Aintree Racecourse 
  The city celebrated its 800th anniversary in 2007 , and was European Capital of Culture together with Stavanger , Norway , in 2008 || SUBJECT: Stavanger || PREDICATE: country || OBJECT: Norway 
Several areas of the city centre were granted World Heritage Site status by UNESCO in 2004 || SUBJECT: World Heritage Site || PREDICATE: maintained by || OBJECT: UNESCO 
The Liverpool Maritime Mercantile City includes the Pier Head , Albert Dock , and William Brown Street || SUBJECT: Liverpool Maritime Mercantile City || PREDICATE: has part || OBJECT: Pier Head 
The Liverpool Maritime Mercantile City includes the Pier Head , Albert Dock , and William Brown Street || SUBJECT: Liverpool Maritime Mercantile City || PREDICATE: has part || OBJECT: Albert Dock 
The Liverpool Maritime Mercantile City includes the Pier Head , Albert Dock , and William Brown Street || SUBJECT: Liverpool Maritime Mercantile City || PREDICATE: has part || OBJECT: William Brown Street 
The Liverpool Maritime Mercantile City includes the Pier Head , Albert Dock , and William Brown Street || SUBJECT: Pier Head || PREDICATE: part of || OBJECT: Liverpool Maritime Mercantile City 
The Liverpool Maritime Mercantile City includes the Pier Head , Albert Dock , and William Brown Street || SUBJECT: Albert Dock || PREDICATE: part of || OBJECT: Liverpool Maritime Mercantile City 
The Liverpool Maritime Mercantile City includes the Pier Head , Albert Dock , and William Brown Street || SUBJECT: William Brown Street || PREDICATE: part of || OBJECT: Liverpool Maritime Mercantile City 
Liverpool 's status as a port city has contributed to its diverse population , which , historically , was drawn from a wide range of peoples , cultures , and religions , particularly from Ireland and Wales || SUBJECT: Liverpool || PREDICATE: instance of || OBJECT: port city 
The city is also home to the oldest Black African community in the country and the oldest Chinese community in Europe || SUBJECT: Black African || PREDICATE: continent || OBJECT: Europe 
  Natives of the city of Liverpool are referred to as Liverpudlians , and colloquially as `` Scousers '' , a reference to `` scouse '' , a form of stew || SUBJECT: Liverpudlians || PREDICATE: located in the administrative territorial entity || OBJECT: Liverpool 
The word `` Scouse '' has also become synonymous with the Liverpool accent and dialect || SUBJECT: Liverpool accent || PREDICATE: instance of || OBJECT: dialect 
Another term for denizens of the city is Liverpolitan , although Liverpolitan may also be used for residents of the wider Liverpool City Region . || SUBJECT: Liverpool City Region || PREDICATE: located in the administrative territorial entity || OBJECT: Liverpolitan 
Henry Louis `` Buster '' Gehrig ( born Heinrich Ludwig Gehrig ; June 19 , 1903June 2 , 1941 ) was an American baseball first baseman who played 17 seasons in Major League Baseball ( MLB ) for the New York Yankees , from 1923 through 1939 || SUBJECT: first baseman || PREDICATE: sport || OBJECT: baseball 
Henry Louis `` Buster '' Gehrig ( born Heinrich Ludwig Gehrig ; June 19 , 1903June 2 , 1941 ) was an American baseball first baseman who played 17 seasons in Major League Baseball ( MLB ) for the New York Yankees , from 1923 through 1939 || SUBJECT: Major League Baseball || PREDICATE: sport || OBJECT: baseball 
Henry Louis `` Buster '' Gehrig ( born Heinrich Ludwig Gehrig ; June 19 , 1903June 2 , 1941 ) was an American baseball first baseman who played 17 seasons in Major League Baseball ( MLB ) for the New York Yankees , from 1923 through 1939 || SUBJECT: New York Yankees || PREDICATE: sport || OBJECT: baseball 
Henry Louis `` Buster '' Gehrig ( born Heinrich Ludwig Gehrig ; June 19 , 1903June 2 , 1941 ) was an American baseball first baseman who played 17 seasons in Major League Baseball ( MLB ) for the New York Yankees , from 1923 through 1939 || SUBJECT: New York Yankees || PREDICATE: league || OBJECT: Major League Baseball 
Gehrig was renowned for his prowess as a hitter and for his durability , a trait that earned him his nickname `` The Iron Horse '' || SUBJECT: The Iron Horse || PREDICATE: sport || OBJECT: hitter 
He was an All-Star seven consecutive times , a Triple Crown winner once , an American League ( AL ) Most Valuable Player twice , and a member of six World Series champion teams || SUBJECT: American League || PREDICATE: award received || OBJECT: Most Valuable Player 
He was an All-Star seven consecutive times , a Triple Crown winner once , an American League ( AL ) Most Valuable Player twice , and a member of six World Series champion teams || SUBJECT: Most Valuable Player || PREDICATE: conferred by || OBJECT: American League 
He had a career .340 batting average , .632 slugging average , and a .447 on base average || SUBJECT: slugging average || PREDICATE: subclass of || OBJECT: batting average 
He hit 493 home runs and had 1,995 runs batted in ( RBI ) || SUBJECT: home runs || PREDICATE: has effect || OBJECT: runs batted in 
In 1939 , he was elected to the Baseball Hall of Fame and was the first MLB player to have his uniform number ( 4 ) retired by a team || SUBJECT: 1939 || PREDICATE: point in time || OBJECT: 1939 
  A native of New York City and attendee of Columbia University , Gehrig signed with the Yankees in 1923 || SUBJECT: Columbia University || PREDICATE: headquarters location || OBJECT: New York City 
He set several major league records during his career , including the most career grand slams ( 23 ) ( since broken by Alex Rodriguez ) and most consecutive games played ( 2,130 ) , a record that stood for 56 years and was long considered unbreakable until surpassed by Cal Ripken , Jr. in 1995 || SUBJECT: 1995 || PREDICATE: point in time || OBJECT: 1995 
Gehrig 's streak ended on May 2 , 1939 , when he voluntarily took himself out of the lineup to stunned fans after his play was hampered by amyotrophic lateral sclerosis ( ALS ) , an incurable neuromuscular disorder now commonly referred to in North America as Lou Gehrig 's disease || SUBJECT: amyotrophic lateral sclerosis || PREDICATE: said to be the same as || OBJECT: Lou Gehrig 's disease 
Gehrig 's streak ended on May 2 , 1939 , when he voluntarily took himself out of the lineup to stunned fans after his play was hampered by amyotrophic lateral sclerosis ( ALS ) , an incurable neuromuscular disorder now commonly referred to in North America as Lou Gehrig 's disease || SUBJECT: Lou Gehrig 's disease || PREDICATE: said to be the same as || OBJECT: amyotrophic lateral sclerosis 
The disease forced him to retire at age 36 and was the cause of his death two years later || SUBJECT: World War I || PREDICATE: followed by || OBJECT: World War II 
The disease forced him to retire at age 36 and was the cause of his death two years later || SUBJECT: World War II || PREDICATE: follows || OBJECT: World War I 
The pathos of his farewell from baseball was capped off by his iconic 1939 `` Luckiest Man on the Face of the Earth '' speech at Yankee Stadium || SUBJECT: 1939 || PREDICATE: point in time || OBJECT: 1939 
  Gehrig was voted the greatest first baseman of all time by the Baseball Writers ' Association in 1969 , and was the leading vote-getter on the Major League Baseball All-Century Team chosen by fans in 1999 || SUBJECT: 1969 || PREDICATE: point in time || OBJECT: 1969 
  Gehrig was voted the greatest first baseman of all time by the Baseball Writers ' Association in 1969 , and was the leading vote-getter on the Major League Baseball All-Century Team chosen by fans in 1999 || SUBJECT: 1999 || PREDICATE: point in time || OBJECT: 1999 
A monument in Gehrig 's honor , originally dedicated by the Yankees in 1941 , currently resides in Monument Park at Yankee Stadium || SUBJECT: Monument Park at Yankee Stadium || PREDICATE: inception || OBJECT: 1941 
The Lou Gehrig Memorial Award is given annually to the MLB player best exhibiting his integrity and character . || SUBJECT: Lou Gehrig Memorial Award || PREDICATE: conferred by || OBJECT: MLB 
The first season of the American television comedy series Louie premiered on June 29 , 2010 and concluded on September 7 , 2010 || SUBJECT: first season || PREDICATE: part of the series || OBJECT: Louie 
The first season of the American television comedy series Louie premiered on June 29 , 2010 and concluded on September 7 , 2010 || SUBJECT: first season || PREDICATE: start time || OBJECT: June 29, 2010 
The first season of the American television comedy series Louie premiered on June 29 , 2010 and concluded on September 7 , 2010 || SUBJECT: first season || PREDICATE: end time || OBJECT: September 7, 2010 
The first season of the American television comedy series Louie premiered on June 29 , 2010 and concluded on September 7 , 2010 || SUBJECT: Louie || PREDICATE: has part || OBJECT: first season 
It consisted of thirteen episodes , each running approximately 23 minutes in length || SUBJECT: 23 minutes || PREDICATE: length || OBJECT: 23 
FX broadcast the first season on Tuesdays at 11:00 pm in the United States || SUBJECT: FX || PREDICATE: country || OBJECT: United States 
The season was produced by 3 Arts Entertainment and the executive producers were Louis C.K. , Dave Becky and M. Blair Breard || SUBJECT: 3 Arts Entertainment || PREDICATE: founded by || OBJECT: Louis C.K. 
The first season was released on DVD and Blu-ray in region 1 on June 21 , 2011 || SUBJECT: DVD || PREDICATE: followed by || OBJECT: Blu-ray 
  Louie was created by Louis C.K. , who serves as the series ' sole writer and director || SUBJECT: Louie || PREDICATE: creator || OBJECT: Louis C.K. 
C.K. stars as a fictionalized version of himself , a comedian and newly divorced father raising his two daughters in New York City || SUBJECT: comedian || PREDICATE: location of formation || OBJECT: New York City 
The show has a loose format atypical for television comedy series , consisting of largely unconnected storylines and segments ( described as `` extended vignettes '' ) that revolve around Louie 's life , punctuated by live stand-up performances || SUBJECT: stand-up || PREDICATE: subclass of || OBJECT: television comedy 
  The season received critical acclaim . || SUBJECT: The season received critical acclaim || PREDICATE: instance of || OBJECT: critical acclaim 
Lorelai Victoria Gilmore is a fictional character in the WB/CW television series Gilmore Girls , portrayed by actress Lauren Graham || SUBJECT: Lorelai Victoria Gilmore || PREDICATE: present in work || OBJECT: Gilmore Girls 
Lorelai Victoria Gilmore is a fictional character in the WB/CW television series Gilmore Girls , portrayed by actress Lauren Graham || SUBJECT: Lorelai Victoria Gilmore || PREDICATE: performer || OBJECT: Lauren Graham 
Lorelai Victoria Gilmore is a fictional character in the WB/CW television series Gilmore Girls , portrayed by actress Lauren Graham || SUBJECT: Gilmore Girls || PREDICATE: characters || OBJECT: Lorelai Victoria Gilmore 
Lorelai Victoria Gilmore is a fictional character in the WB/CW television series Gilmore Girls , portrayed by actress Lauren Graham || SUBJECT: Gilmore Girls || PREDICATE: cast member || OBJECT: Lauren Graham 
She is a key character throughout the series ' seven-year run from October 2000 until May 2007 , and the 2016 revival Gilmore Girls : A Year in the Life || SUBJECT: Gilmore Girls || PREDICATE: end time || OBJECT: May 2007 
Lorelai is a single mother of a teenage daughter , Rory ( Alexis Bledel ) || SUBJECT: Rory || PREDICATE: performer || OBJECT: Alexis Bledel 
The dynamic of single parenthood and the tension between Lorelai and her wealthy parents , Richard ( Edward Herrmann ) and especially her controlling mother , Emily ( Kelly Bishop ) , form the main theme of the series story line || SUBJECT: Richard || PREDICATE: performer || OBJECT: Edward Herrmann 
The dynamic of single parenthood and the tension between Lorelai and her wealthy parents , Richard ( Edward Herrmann ) and especially her controlling mother , Emily ( Kelly Bishop ) , form the main theme of the series story line || SUBJECT: Richard || PREDICATE: spouse || OBJECT: Emily 
The dynamic of single parenthood and the tension between Lorelai and her wealthy parents , Richard ( Edward Herrmann ) and especially her controlling mother , Emily ( Kelly Bishop ) , form the main theme of the series story line || SUBJECT: Emily || PREDICATE: performer || OBJECT: Kelly Bishop 
Subplots involve various financial difficulties , love interests and other domestic entanglements for both Lorelai and her daughter Rory || SUBJECT: Lorelai || PREDICATE: child || OBJECT: Rory 
  Besides an on-again , off-again relationship with Christopher Hayden , Lorelai 's had a few romantic relationships that included Max Medina ( Scott Cohen ) , a teacher at Chilton to whom she was briefly engaged || SUBJECT: Max Medina || PREDICATE: performer || OBJECT: Scott Cohen 
Alex Lesman ( Billy Burke ) , an outdoorsy coffee house entrepreneur ; Jason Stiles ( Chris Eigeman ) , a childhood acquaintance , and Luke Danes ( Scott Patterson ) , the owner of Luke 's Diner in Stars Hollow , with whom she always had a strong connection || SUBJECT: Alex Lesman || PREDICATE: performer || OBJECT: Billy Burke 
Alex Lesman ( Billy Burke ) , an outdoorsy coffee house entrepreneur ; Jason Stiles ( Chris Eigeman ) , a childhood acquaintance , and Luke Danes ( Scott Patterson ) , the owner of Luke 's Diner in Stars Hollow , with whom she always had a strong connection || SUBJECT: Jason Stiles || PREDICATE: performer || OBJECT: Chris Eigeman 
Alex Lesman ( Billy Burke ) , an outdoorsy coffee house entrepreneur ; Jason Stiles ( Chris Eigeman ) , a childhood acquaintance , and Luke Danes ( Scott Patterson ) , the owner of Luke 's Diner in Stars Hollow , with whom she always had a strong connection || SUBJECT: Luke Danes || PREDICATE: performer || OBJECT: Scott Patterson 
Over the years , as she frequented Luke 's Diner , they became close friends and eventually fell in love || SUBJECT: Luke 's Diner || PREDICATE: owned by || OBJECT: Luke 's Diner 
Over the years , as she frequented Luke 's Diner , they became close friends and eventually fell in love || SUBJECT: Luke 's Diner || PREDICATE: owner of || OBJECT: Luke 's Diner 
Luke and Lorelai marry in the `` Fall '' episode of the revival series `` A year in the life '' || SUBJECT: Luke || PREDICATE: spouse || OBJECT: Lorelai 
Luke and Lorelai marry in the `` Fall '' episode of the revival series `` A year in the life '' || SUBJECT: Lorelai || PREDICATE: spouse || OBJECT: Luke 
Lorelai is often included on lists of top `` TV moms '' || SUBJECT: Lorelai || PREDICATE: occupation || OBJECT: TV moms 
Graham received widespread critical acclaim for her performance and has been nominated for several awards , winning two Teen Choice Awards || SUBJECT: Teen Choice Awards || PREDICATE: instance of || OBJECT: awards 
She was also nominated for two Screen Actors Guild Awards in 2000 and 2001 and for a Golden Globe Award in 2002 . || SUBJECT: 2000 || PREDICATE: part of the series || OBJECT: Screen Actors Guild Award 
She was also nominated for two Screen Actors Guild Awards in 2000 and 2001 and for a Golden Globe Award in 2002 . || SUBJECT: 2001 || PREDICATE: part of the series || OBJECT: Screen Actors Guild Award 
She was also nominated for two Screen Actors Guild Awards in 2000 and 2001 and for a Golden Globe Award in 2002 . || SUBJECT: 2002 || PREDICATE: part of the series || OBJECT: Golden Globe Award 
Live Nation Entertainment is an American global entertainment company , formed from the merger of Live Nation and Ticketmaster || SUBJECT: Live Nation Entertainment || PREDICATE: subsidiary || OBJECT: Live Nation 
Live Nation Entertainment is an American global entertainment company , formed from the merger of Live Nation and Ticketmaster || SUBJECT: Live Nation Entertainment || PREDICATE: subsidiary || OBJECT: Ticketmaster 
Live Nation Entertainment is an American global entertainment company , formed from the merger of Live Nation and Ticketmaster || SUBJECT: Live Nation || PREDICATE: parent organization || OBJECT: Live Nation Entertainment 
Live Nation Entertainment is an American global entertainment company , formed from the merger of Live Nation and Ticketmaster || SUBJECT: Ticketmaster || PREDICATE: parent organization || OBJECT: Live Nation Entertainment 
